id,rda,units,tagname,nutr_desc
203,18,g,PRO,Protein
204,25,g,FAT,Total lipid (fat)
205,60,g,CARB,"Carbohydrate, by difference"
207,,g,ASH,Ash
208,450,kcal,CAL,Energy
209,,g,STARCH,Starch
210,,g,SUCS,Sucrose
211,,g,GLUS,Glucose (dextrose)
212,,g,FRUS,Fructose
213,,g,LACS,Lactose
214,,g,MALS,Maltose
221,,g,ALC,"Alcohol, ethyl"
255,,g,WATER,Water
262,,mg,CAFFN,Caffeine
263,,mg,THEBRN,Theobromine
268,,kJ,ENERC_KJ,Energy
269,15,g,SUGAR,"Sugars, total"
287,,g,GALS,Galactose
291,9,g,FIBTG,"Fiber, total dietary"
301,300,mg,CA,"Calcium, Ca"
303,4,mg,FE,"Iron, Fe"
304,100,mg,MG,"Magnesium, Mg"
305,250,mg,P,"Phosphorus, P"
306,1300,mg,K,"Potassium, K"
307,350,mg,NA,"Sodium, Na"
309,3,mg,ZN,"Zinc, Zn"
312,0.2,mg,CU,"Copper, Cu"
313,,µg,FL,"Fluoride, F"
315,0.6,mg,MN,"Manganese, Mn"
317,15,µg,SE,"Selenium, Se"
318,1000,IU,VITA_IU,"Vitamin A, IU"
319,,µg,RETOL,Retinol
320,250,µg,VITA_RAE,"Vitamin A, RAE"
321,,µg,CARTB,"Carotene, beta"
322,,µg,CARTA,"Carotene, alpha"
323,,mg,TOCPHA,Vitamin E (alpha-tocopherol)
324,100,IU,VITD_IU,Vitamin D
325,,µg,ERGCAL,Vitamin D2 (ergocalciferol)
326,,µg,CHOCAL,Vitamin D3 (cholecalciferol)
328,5,µg,VITD,Vitamin D (D2 + D3)
334,,µg,CRYPX,"Cryptoxanthin, beta"
337,900,µg,LYCPN,Lycopene
338,2000,µg,LUTZEA,Lutein + zeaxanthin
341,,mg,TOCPHB,"Tocopherol, beta"
342,,mg,TOCPHG,"Tocopherol, gamma"
343,,mg,TOCPHD,"Tocopherol, delta"
344,,mg,TOCTRA,"Tocotrienol, alpha"
345,,mg,TOCTRB,"Tocotrienol, beta"
346,,mg,TOCTRG,"Tocotrienol, gamma"
347,,mg,TOCTRD,"Tocotrienol, delta"
401,30,mg,VITC,"Vitamin C, total ascorbic acid"
404,0.3,mg,B1,Thiamin
405,0.35,mg,B2,Riboflavin
406,4,mg,B3,Niacin
410,1.25,mg,B5,Pantothenic acid
415,0.4,mg,B6,Vitamin B-6
417,100,µg,B9,"Folate, total"
418,0.6,µg,B12,Vitamin B-12
421,110,mg,CHO,"Choline, total"
428,,µg,MK4,Menaquinone-4
429,,µg,VITK1D,Dihydrophylloquinone
430,30,µg,VITK,Vitamin K (phylloquinone)
431,,µg,FOLAC,Folic acid
432,,µg,FOLFD,"Folate, food"
435,,µg,FOLDFE,"Folate, DFE"
454,,mg,BETN,Betaine
501,0.1,g,TRP_G,Tryptophan
502,0.3,g,THR_G,Threonine
503,0.5,g,ILE_G,Isoleucine
504,1,g,LEU_G,Leucine
505,0.8,g,LYS_G,Lysine
506,0.3,g,MET_G,Methionine
507,,g,CYS_G,Cystine
508,0.3,g,PHE_G,Phenylalanine
509,0.4,g,TYR_G,Tyrosine
510,0.5,g,VAL_G,Valine
511,0.3,g,ARG_G,Arginine
512,0.2,g,HISTN_G,Histidine
513,0.3,g,ALA_G,Alanine
514,0.3,g,ASP_G,Aspartic acid
515,0.5,g,GLU_G,Glutamic acid
516,0.2,g,GLY_G,Glycine
517,0.2,g,PRO_G,Proline
518,0.4,g,SER_G,Serine
521,,g,HYP,Hydroxyproline
573,,mg,VITE_ADD,"Vitamin E, added"
578,,µg,B12_ADD,"Vitamin B-12, added"
601,50,mg,CHOLEST,Cholesterol
605,0,g,FATRN,"Fatty acids, total trans"
606,7,g,FASAT,"Fatty acids, total saturated"
607,,g,F4D0,4:0
608,,g,F6D0,6:0
609,,g,F8D0,8:0
610,,g,F10D0,10:0
611,,g,F12D0,12:0
612,,g,F14D0,14:0
613,,g,F16D0,16:0
614,,g,F18D0,18:0
615,,g,F20D0,20:0
617,,g,F18D1,18:1 undifferentiated
618,,g,F18D2,18:2 undifferentiated
619,,g,F18D3,18:3 undifferentiated
620,,g,F20D4,20:4 undifferentiated
621,0.1,g,F22D6,22:6 n-3 (DHA)
624,,g,F22D0,22:0
625,,g,F14D1,14:1
626,,g,F16D1,16:1 undifferentiated
627,,g,F18D4,18:4
628,,g,F20D1,20:1
629,0.05,g,F20D5,20:5 n-3 (EPA)
630,,g,F22D1,22:1 undifferentiated
631,,g,F22D5,22:5 n-3 (DPA)
636,,mg,PHYSTR,Phytosterols
638,,mg,STID7,Stigmasterol
639,,mg,CAMD5,Campesterol
641,,mg,SITSTR,Beta-sitosterol
645,10,g,FAMS,"Fatty acids, total monounsaturated"
646,6,g,FAPU,"Fatty acids, total polyunsaturated"
652,,g,F15D0,15:0
653,,g,F17D0,17:0
654,,g,F24D0,24:0
662,,g,F16D1T,16:1 t
663,,g,F18D1T,18:1 t
664,,g,F22D1T,22:1 t
665,,g,F18D2NFD,18:2 t not further defined
666,,g,F18D2I,18:2 i
669,,g,F18D2TT,"18:2 t,t"
670,,g,F18D2CLA,18:2 CLAs
671,,g,F24D1C,24:1 c
672,,g,F20D2CN6,"20:2 n-6 c,c"
673,,g,F16D1C,16:1 c
674,,g,F18D1C,18:1 c
675,,g,F18D2CN6,"18:2 n-6 c,c"
676,,g,F22D1C,22:1 c
685,,g,F18D3CN6,"18:3 n-6 c,c,c"
687,,g,F17D1,17:1
689,,g,F20D3,20:3 undifferentiated
693,,g,FATRNM,"Fatty acids, total trans-monoenoic"
695,,g,FATRNP,"Fatty acids, total trans-polyenoic"
696,,g,F13D0,13:0
697,,g,F15D1,15:1
851,0.3,g,F18D3CN3,"18:3 n-3 c,c,c (ALA)"
852,,g,F20D3N3,20:3 n-3
853,,g,F20D3N6,20:3 n-6
855,,g,F20D4N6,20:4 n-6
856,,g,F18D3I,18:3i
857,,g,F21D5,21:5
858,,g,F22D4,22:4
859,,g,F18D1TN7,18:1-11 t (18:1t n-7)
710,8,mg,DAID,Daidzein
711,4,mg,GENI,Genistein
712,,mg,GLYC,Glycitein
713,11,mg,TOTISO,Total isoflavones
714,,mg,BIOC,Biochanin A
715,,mg,FORM,Formononetin
716,,mg,COUM,Coumestrol
734,10,mg,PAdimer,Proanthocyanidin dimers
735,5,mg,PAtrimer,Proanthocyanidin trimers
736,5,mg,PA4-6mer,Proanthocyanidin 4-6mers
737,2,mg,PA7-10mer,Proanthocyanidin 7-10mers
738,1,mg,PApolymer,Proanthocyanidin polymers (>10mers)
731,5,mg,CYAD,Cyanidin
740,,mg,PETUNIDIN,Petunidin
741,,mg,DELPH,Delphinidin 
742,,mg,MALVIDIN,Malvidin
743,,mg,PELA,Pelargonidin
745,,mg,PEONIDIN,Peonidin
749,10,mg,CATE,(+)-Catechin
750,10,mg,EPICATEGC,(-)-Epigallocatechin
751,10,mg,EPICATEC,(-)-Epicatechin
752,10,mg,EPICATECG3,(-)-Epicatechin 3-gallate
753,15,mg,EGCG,(-)-Epigallocatechin 3-gallate
755,,mg,THEAF,Theaflavin
756,,mg,THEAR,Thearubigins
758,,mg,ERIOD,Eriodictyol
759,20,mg,HESPT,Hesperetin
762,15,mg,NARING,Naringenin
770,8,mg,APIGEN,Apigenin
773,5,mg,LUTEOL,Luteolin
785,5,mg,ISORHAM,Isorhamnetin
